conceptid,PrefLabel,ArLabel,AltLabels,ParentConceptid,ConceptType,Provider
DESCRIPTION_TYPE:1,Site Description,وصف الموقع,,DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.csv,Collector,TMP
DESCRIPTION_TYPE:2,1. History,التاريخ,,DESCRIPTION_TYPE:1,Index,TMP
DESCRIPTION_TYPE:3,2. Archaeological Content,المحتوي الآثري,,DESCRIPTION_TYPE:1,Index,TMP
DESCRIPTION_TYPE:4,3. Exploration and Excavation,الأكتشافات والحفائر,,DESCRIPTION_TYPE:1,Index,TMP
DESCRIPTION_TYPE:5,General Description,الوصف العام,,DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
DESCRIPTION_TYPE:6,Summary of Significance,أهمية الموقع,,DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
DESCRIPTION_TYPE:7,Primary,وصف الصور,,DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
DESCRIPTION_TYPE:8,Comments,التعليقات,,DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
