conceptid,PrefLabel,ArLabel,AltLabels,ParentConceptid,ConceptType,Provider
ARABIC_DESCRIPTION_TYPE:1,Site Description,وصف الموقع,,ARABIC_DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.csv,Collector,TMP
ARABIC_DESCRIPTION_TYPE:2,1. History,التاريخ,,ARABIC_DESCRIPTION_TYPE:1,Index,TMP
ARABIC_DESCRIPTION_TYPE:3,2. Archaeological Content,المحتوي الآثري,,ARABIC_DESCRIPTION_TYPE:1,Index,TMP
ARABIC_DESCRIPTION_TYPE:4,3. Exploration and Excavation,الأكتشافات والحفائر,,ARABIC_DESCRIPTION_TYPE:1,Index,TMP
ARABIC_DESCRIPTION_TYPE:5,General Description,الوصف العام,,ARABIC_DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
ARABIC_DESCRIPTION_TYPE:6,Summary of Significance,أهمية الموقع,,ARABIC_DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
ARABIC_DESCRIPTION_TYPE:7,Primary,وصف الصور,,ARABIC_DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
ARABIC_DESCRIPTION_TYPE:8,Comments,التعليقات,,ARABIC_DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
