Conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
RULER_UID:57,Tutankhamun,Tutanchamon;Tutankhaten,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:58,Ay,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:59,Horemhab,Haremhab,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:60,Ramesses I,Ramses I;Rameses I,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:61,Seti I,Sety I;Sethos I,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:62,Ramesses II,Ramses II;Rameses II;Ramesses the Great,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:63,Merenptah,Merneptah,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:64,Seti II,Sety II;Sethos II,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:65,Amenmesse,Amenemes,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:66,Siptah,Merenptah Siptah,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:67,Tawosret,Twosre;Tausert,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:68,Setnakht,Sethnakht,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:69,Ramesses III,Ramses III;Rameses III,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:70,Ramesses IV,Ramses IV;Rameses IV,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:71,Ramesses V,Ramses V;Rameses V,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:72,Ramesses VI,Ramses VI;Rameses VI,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:73,Ramesses VII,Ramses VII;Rameses VII,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:74,Ramesses VIII,Ramses VIII;Rameses VIII,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:75,Ramesses IX,Ramses IX;Rameses IX,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:76,Ramesses X,Ramses X;Rameses X,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:77,Ramesses XI,Ramses XI;Rameses XI,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:78,Smendes,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:79,Psusennes,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:80,Shoshenq I,Sheshenq I,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:81,Osorkon I,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
