conceptid,PrefLabel,ArLabel,AltLabels,ParentConceptid,ConceptType,Provider
RELATED_FEATURE:1,Related Necropolis ,,,ANCILLARY_FEATURE_AUTHORITY_DOCUMENT.csv,Index,TMP
RELATED_FEATURE:2,Ancillary Burial Chamber,,,ANCILLARY_FEATURE_AUTHORITY_DOCUMENT.csv,Index,TMP
RELATED_FEATURE:3,Chapel,,,ANCILLARY_FEATURE_AUTHORITY_DOCUMENT.csv,Index,TMP
RELATED_FEATURE:4,Side Chamber,,,ANCILLARY_FEATURE_AUTHORITY_DOCUMENT.csv,Index,TMP
