conceptid,Value,ValueType,Provider 
DESCRIPTION_TYPE:1,1,sortorder,TMP
DESCRIPTION_TYPE:5,3,sortorder,GCI
DESCRIPTION_TYPE:6,4,sortorder,GCI
DESCRIPTION_TYPE:7,2,sortorder,GCI
DESCRIPTION_TYPE:8,5,sortorder,GCI
