conceptid,PrefLabel,ArLabel,AltLabels,ParentConceptid,ConceptType,Provider
ARCH_COMPLEX_TYPE:1,Pyramidal Complex,,,HERITAGE_RESOURCE_GROUP_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
ARCH_COMPLEX_TYPE:2,Town Complex,,,HERITAGE_RESOURCE_GROUP_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
ARCH_COMPLEX_TYPE:3,Cemetery Complex,,,HERITAGE_RESOURCE_GROUP_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
ARCH_COMPLEX_TYPE:4,Monastic Area,,,HERITAGE_RESOURCE_GROUP_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
ARCH_COMPLEX_TYPE:5,Oasis,,,HERITAGE_RESOURCE_GROUP_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
ARCH_COMPLEX_TYPE:5,Fortified Settlement Area,,,HERITAGE_RESOURCE_GROUP_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
ARCH_COMPLEX_TYPE:5,Important Archaelogical Area,,,HERITAGE_RESOURCE_GROUP_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
ARCH_COMPLEX_TYPE:5,Inscriptions Area,,,HERITAGE_RESOURCE_GROUP_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
ARCH_COMPLEX_TYPE:5,Quarry Complex,,,HERITAGE_RESOURCE_GROUP_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
