conceptid,PrefLabel,ArLabel,AltLabels,ParentConceptid,ConceptType,Provider
MATERIAL:1,Mud brick,,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,TMP
MATERIAL:2,Rock,,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,TMP
MATERIAL:3,Stone,,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,TMP
MATERIAL:4,Wood,,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,TMP
MATERIAL:5,Other,,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,TMP
