conceptid,PrefLabel,ArLabel,AltLabels,ParentConceptid,ConceptType,Provider
GEOMETRY_QUALIFIER:1,center point,,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,TMP
GEOMETRY_QUALIFIER:2,site datum point,,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,TMP
GEOMETRY_QUALIFIER:3,vicinity point,,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,TMP
GEOMETRY_QUALIFIER:4,access point,,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,TMP
GEOMETRY_QUALIFIER:5,perimeter polygon,,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,TMP
GEOMETRY_QUALIFIER:6,footprint polygon,,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,TMP
GEOMETRY_QUALIFIER:7,circumscribed polygon,,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,TMP
GEOMETRY_QUALIFIER:8,buffer polygon,,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,TMP
GEOMETRY_QUALIFIER:9,center line,,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,TMP
