conceptid,PrefLabel,ArLabel,AltLabels,ParentConceptid,ConceptType,Provider
INFO_RES:1,Bibliography,,,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
INFO_RES:2,Document/Text,,,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,DC
INFO_RES:3,Image,,,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Collector,TMP
INFO_RES:4,Site Photo,,,INFO_RES:3,Index,TMP
INFO_RES:5,Site Plan,,,INFO_RES:3,Index,TMP
INFO_RES:6,Video,,,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
INFO_RES:7,Interactive Resource,,,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,DC
INFO_RES:8,Software,,,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,DC
INFO_RES:9,Sound,,,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,DC
