conceptid,PrefLabel,ArLabel,AltLabels,ParentConceptid,ConceptType,Provider
CONSTRUCTION_TECHNIQUE:1,Mud brick,,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,TMP
CONSTRUCTION_TECHNIQUE:2,Rock cut,,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,TMP
CONSTRUCTION_TECHNIQUE:3,Stone,,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,TMP
CONSTRUCTION_TECHNIQUE:4,Wood,,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,TMP
CONSTRUCTION_TECHNIQUE:5,Unknown,,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,TMP
